id,price,number_of_reviews,No_of_days_booked_per_year,occupany_rate
2951320,109,0,0.0,0.0
2952147,88,58,117.0,32.0
2959739,185,60,66.0,18.0
2960794,128,77,51.0,14.0
2969216,150,10,11.0,3.0
2970895,150,154,179.0,49.0
2972586,109,0,0.0,0.0
2979844,59,25,47.0,13.0
2982188,291,7,11.0,3.0
2982970,70,187,197.0,54.0
2983163,99,48,88.0,24.0
2988654,117,262,234.0,64.0
2988851,260,28,26.0,7.0
2998252,45,9,30.0,8.3
2998640,110,151,172.0,47.0
3006101,45,36,40.0,11.0
3012559,80,60,91.0,25.0
3013563,125,133,106.0,29.0
3022768,45,53,95.0,26.0
3023045,54,57,62.0,17.0
3030853,250,67,62.0,17.0
3043855,300,227,245.0,67.0
3044234,209,204,204.0,56.0
3045739,249,38,33.0,9.0
3047493,128,1,0.0,0.0
3048429,219,114,120.0,33.0
3052620,165,53,153.0,42.0
3054726,49,0,0.0,0.0
3061987,298,96,91.0,25.0
3071226,145,122,106.0,29.0
3075582,165,75,134.0,36.7
3085056,240,0,0.0,0.0
3085218,90,0,0.0,0.0
3086516,142,0,0.0,0.0
3094430,26,0,0.0,0.0
3095962,148,105,128.0,35.0
3097051,150,101,77.0,21.0
3105366,450,3,26.0,7.0
3105381,291,96,102.0,28.0
3108800,158,50,51.0,14.0
3116412,105,69,84.0,23.0
3124991,100,0,0.0,0.0
3125217,150,485,255.0,70.0
3125784,161,3,4.0,1.0
3139102,175,215,245.0,67.0
3148053,199,31,44.0,12.0
3148184,90,54,73.0,20.0
3150590,904,0,0.0,0.0
3158224,179,101,106.0,29.0
3161237,250,10,68.0,18.7
3168480,100,0,0.0,0.0
3168902,135,27,47.0,13.0
3177265,45,0,0.0,0.0
3177831,61,2,6.0,1.7
3194833,25,1,0.0,0.0
3195648,195,130,131.0,36.0
3201330,76,62,66.0,18.0
3201561,70,43,40.0,11.0
3202317,376,92,117.0,32.0
3202457,94,1,8.0,2.3
3222972,70,23,37.0,10.0
3233123,76,1,4.0,1.0
